Daniel,Dobler,1,American,Expedia,Double,3,2,2,50,100,50,3/20/2019,3/22/2019,604-752-9256,bettina@hotmail.com,None
Leslee,Matsuno,2,American,Airbnb.com,Double-double,8,3,4,80,150,70,3/21/2019,3/22/2019,819-677-1206,chu@aol.com,None
Kassandra,Marushia,3,American,Agoda,Double,5,2,2,50,100,50,3/22/2019,3/24/2019,519-844-4835,hershel_bultron@bultron.org,None
Erin,Delbosque,4,American,Walk-in Guest,Executive Suite,9,5,6,100,200,100,3/22/2019,3/23/2019,819-632-2869,georgiann_hoerter@hoerter.com,None
Ranee,Maye,5,American,Airbnb.com,Double,3,1,2,50,100,50,3/25/2019,3/26/2019,204-318-1929,aberson@aol.com,None
Oliva,Ambert,6,American,Hotels.com,Quad,7,4,4,80,150,70,3/26/2019,3/27/2019,250-544-1482,lorriane.naddeo@naddeo.org,None
Clemencia,Momplaisir,7,American,Hotels.com,Twin,2,2,2,50,100,50,3/31/2019,4/1/2019,902-715-9684,franchesca_lamme@yahoo.com,None
Marleen,Hennon,8,American,Walk-in Guest,Executive Suite,9,6,6,100,200,100,4/1/2019,4/2/2019,604-940-9313,bgeigel@gmail.com,None
Kenneth,Degennaro,9,American,Hotels.com,Double-double,6,4,4,80,150,70,4/1/2019,4/2/2019,905-468-2503,rutha@eisert.com,None
Shad,Reider,10,American,Agoda,Double,4,1,2,50,100,50,4/1/2019,4/2/2019,905-992-1637,fcaneles@caneles.com,None
Rene,Granier,11,American,Kayak,Double,4,1,2,50,100,50,4/1/2019,4/2/2019,604-556-1080,nickie.balonek@balonek.com,None
Marnie,Purslow,12,American,Priceline,Twin,1,1,2,50,100,50,4/1/2019,4/2/2019,902-330-7314,sheldon@isachsen.org,None
Mabel,Elmquist,13,American,Booking.com,Double,5,1,2,50,100,50,4/2/2019,4/3/2019,604-848-3170,vallie@yahoo.com,None
Delsie,Cerao,14,American,TripAdvisors,Double,4,1,2,50,100,50,4/2/2019,4/4/2019,905-441-5009,miriam.stakes@yahoo.com,None
Desirae,Oien,15,American,Agoda,Executive Suite,9,6,6,100,200,100,4/3/2019,4/6/2019,514-950-4495,jaime_perugini@perugini.com,None
Denna,Miklitz,16,American,Airbnb.com,Twin,2,2,2,50,100,50,4/4/2019,4/5/2019,306-333-8933,corazon@ivaska.org,None
Jules,Erichsen,17,American,Hotels.com,Double-double,8,4,4,80,150,70,4/6/2019,4/9/2019,416-870-8070,lucia@aol.com,None
Milly,Pattengale,18,American,TripAdvisors,Double,5,2,2,50,100,50,4/6/2019,4/7/2019,416-862-7028,vmeir@meir.com,None
Catina,Emmert,19,American,TripAdvisors,Apartment,10,8,8,150,300,150,4/6/2019,4/8/2019,450-771-5010,long.shintaku@shintaku.org,None
Edmond,Buettner,20,England,Priceline,Double-double,6,4,4,80,150,70,4/6/2019,4/9/2019,905-907-6615,shaun_scovil@aol.com,None
Ryan,Phibbs,21,England,Kayak,Double,4,2,2,50,100,50,4/6/2019,4/10/2019,905-725-6769,ashton@cox.net,None
Adela,Echegoyen,22,Italian,TripAdvisors,Executive Suite,9,6,6,100,200,100,4/6/2019,4/8/2019,506-752-6097,jracer@cox.net,None
Krystal,Twyman,23,England,Booking.com,Twin,2,2,2,50,100,50,4/6/2019,4/9/2019,514-330-5479,glenn.robinault@cox.net,None
Asha,Zoldak,24,Australian,Airbnb.com,Double,5,2,2,50,100,50,4/9/2019,4/10/2019,705-616-5386,nplanty@gmail.com,None
Cletus,Stapels,25,American,Agoda,Double,3,2,2,50,100,50,4/9/2019,4/11/2019,705-655-5936,tayna_keirnan@gmail.com,None
Sonia,Blan,26,American,Expedia,Double-double,6,4,4,80,150,70,4/9/2019,4/10/2019,613-684-4467,loreen_griepentrog@aol.com,None
Hannah,Suero,27,American,Expedia,Apartment,10,7,8,150,300,150,4/10/2019,4/11/2019,416-631-1863,blossom_kraatz@kraatz.org,None
Genevieve,Milionis,28,American,Airbnb.com,Apartment,10,8,8,150,300,150,4/12/2019,4/13/2019,709-399-4807,ehairr@hotmail.com,None
Janae,Mair,29,American,Airbnb.com,Double,5,2,2,50,100,50,4/12/2019,4/13/2019,613-273-5773,rodney_lockamy@aol.com,None
Nguyet,Kitchens,30,American,Hotels.com,Executive Suite,9,6,6,100,200,100,4/12/2019,4/13/2019,705-736-4801,nathalie_corners@corners.org,None
Brice,Rowe,31,American,Airbnb.com,Double,3,2,2,50,100,50,4/12/2019,4/13/2019,204-210-4967,bo_sabota@sabota.com,None
Leonardo,Leahman,32,American,TripAdvisors,Double-double,8,4,4,80,150,70,4/12/2019,4/13/2019,905-309-4565,vanna_pickle@aol.com,None
Allene,Perera,33,American,Kayak,Twin,2,2,2,50,100,50,4/12/2019,4/13/2019,902-240-7029,ira.betterton@yahoo.com,None
Oneida,Pospishil,34,American,Kayak,Quad,7,4,4,80,150,70,4/12/2019,4/13/2019,450-339-6016,cortney.choice@choice.com,None
Kathrine,Kaper,35,American,Kayak,Double,3,2,2,50,100,50,4/12/2019,4/13/2019,416-884-9104,dona@hotmail.com,None
Susy,Finstad,36,American,Kayak,Twin,1,2,2,50,100,50,4/13/2019,4/14/2019,416-801-7398,srigazio@rigazio.org,None
Curt,Kohlman,37,American,Expedia,Double,5,2,2,50,100,50,4/15/2019,4/16/2019,519-736-9305,natalya_verso@yahoo.com,None
Dorcas,Diebold,38,American,Expedia,Quad,7,4,4,80,150,70,4/16/2019,4/17/2019,604-986-3233,von@aol.com,None
Shelba,Kast,39,American,Expedia,Double,5,1,2,50,100,50,4/16/2019,4/17/2019,705-799-1235,candra@hotmail.com,None
Shannan,Cupit,40,American,Airbnb.com,Twin,2,1,2,50,100,50,4/16/2019,4/17/2019,905-696-6221,spead@cox.net,None
Carlene,Kana,41,American,Agoda,Double,3,1,2,50,100,50,4/20/2019,4/21/2019,250-862-6746,tshadle@shadle.com,None
Glendora,Pezley,42,American,Expedia,Apartment,10,8,8,150,300,150,4/23/2019,4/24/2019,306-285-1574,broderick_lorenz@hotmail.com,None
Shoshana,Courter,43,American,Walk-in Guest,Double-double,6,4,4,80,150,70,4/24/2019,4/25/2019,519-625-4433,yaeko_orndoff@orndoff.org,None
Murray,Fode,44,American,Walk-in Guest,Twin,2,2,2,50,100,50,4/24/2019,4/26/2019,416-568-3388,tanesha_tesseneer@hotmail.com,None
Celestine,Pritt,45,American,TripAdvisors,Double,4,2,2,50,100,50,4/24/2019,4/25/2019,403-775-4053,blythe_czaplinski@czaplinski.com,None
Cherelle,Welschmeyer,46,American,Priceline,Double-double,8,4,4,80,150,70,4/25/2019,4/26/2019,418-540-2207,carol@gmail.com,None
Paulina,Arand,47,American,Priceline,Quad,7,4,4,80,150,70,4/25/2019,4/26/2019,204-656-8450,macy@hotmail.com,None
